date,Day,Month,Year,store,sales,promo,holiday
1/1/2022,Saturday,Jan,2022,1,184.78,Not Active,Working Day
1/2/2022,Sunday,Jan,2022,1,192.62,Not Active,Working Day
1/3/2022,Monday,Jan,2022,1,212.68,Not Active,Working Day
1/4/2022,Tuesday,Jan,2022,1,249.58,Active,Working Day
1/5/2022,Wednesday,Jan,2022,1,223.5,Not Active,Working Day
1/6/2022,Thursday,Jan,2022,1,221.79,Not Active,Working Day
1/7/2022,Friday,Jan,2022,1,200.43,Not Active,Working Day
1/8/2022,Saturday,Jan,2022,1,213.47,Active,Working Day
1/9/2022,Sunday,Jan,2022,1,222.44,Active,Working Day
1/10/2022,Monday,Jan,2022,1,203.1,Not Active,Working Day
1/11/2022,Tuesday,Jan,2022,1,218.78,Not Active,Working Day
1/12/2022,Wednesday,Jan,2022,1,266.23,Not Active,Holiday
1/13/2022,Thursday,Jan,2022,1,204.68,Not Active,Working Day
1/14/2022,Friday,Jan,2022,1,218.31,Active,Working Day
1/15/2022,Saturday,Jan,2022,1,183.36,Not Active,Working Day
1/16/2022,Sunday,Jan,2022,1,185.02,Not Active,Working Day
1/17/2022,Monday,Jan,2022,1,247.34,Not Active,Holiday
1/18/2022,Tuesday,Jan,2022,1,216.91,Not Active,Working Day
1/19/2022,Wednesday,Jan,2022,1,218.3,Not Active,Working Day
1/20/2022,Thursday,Jan,2022,1,221.92,Not Active,Working Day
1/21/2022,Friday,Jan,2022,1,196.16,Not Active,Working Day
1/22/2022,Saturday,Jan,2022,1,186.86,Not Active,Working Day
1/23/2022,Sunday,Jan,2022,1,183.31,Not Active,Working Day
1/24/2022,Monday,Jan,2022,1,203.4,Not Active,Working Day
1/25/2022,Tuesday,Jan,2022,1,222.36,Not Active,Working Day
1/26/2022,Wednesday,Jan,2022,1,219.96,Not Active,Working Day
1/27/2022,Thursday,Jan,2022,1,216.82,Not Active,Working Day
1/28/2022,Friday,Jan,2022,1,194.64,Not Active,Working Day
1/29/2022,Saturday,Jan,2022,1,225.41,Not Active,Holiday
1/30/2022,Sunday,Jan,2022,1,187.77,Not Active,Working Day
1/31/2022,Monday,Jan,2022,1,255.73,Not Active,Holiday
2/1/2022,Tuesday,Feb,2022,1,252.09,Active,Working Day
2/2/2022,Wednesday,Feb,2022,1,220.78,Not Active,Working Day
2/3/2022,Thursday,Feb,2022,1,219.41,Not Active,Working Day
2/4/2022,Friday,Feb,2022,1,191.89,Not Active,Working Day
2/5/2022,Saturday,Feb,2022,1,188.26,Not Active,Working Day
2/6/2022,Sunday,Feb,2022,1,181.33,Not Active,Working Day
2/7/2022,Monday,Feb,2022,1,200.18,Not Active,Working Day
2/8/2022,Tuesday,Feb,2022,1,223.49,Not Active,Working Day
2/9/2022,Wednesday,Feb,2022,1,230.11,Not Active,Working Day
2/10/2022,Thursday,Feb,2022,1,216.5,Not Active,Working Day
2/11/2022,Friday,Feb,2022,1,197.76,Not Active,Working Day
2/12/2022,Saturday,Feb,2022,1,186.06,Not Active,Working Day
2/13/2022,Sunday,Feb,2022,1,184.09,Not Active,Working Day
2/14/2022,Monday,Feb,2022,1,203.57,Not Active,Working Day
2/15/2022,Tuesday,Feb,2022,1,260.55,Not Active,Holiday
2/16/2022,Wednesday,Feb,2022,1,232.05,Not Active,Working Day
2/17/2022,Thursday,Feb,2022,1,217.71,Not Active,Working Day
2/18/2022,Friday,Feb,2022,1,229.87,Not Active,Holiday
2/19/2022,Saturday,Feb,2022,1,219.54,Active,Working Day
2/20/2022,Sunday,Feb,2022,1,189.91,Not Active,Working Day
2/21/2022,Monday,Feb,2022,1,204.13,Not Active,Working Day
2/22/2022,Tuesday,Feb,2022,1,226.26,Not Active,Working Day
2/23/2022,Wednesday,Feb,2022,1,232.27,Not Active,Working Day
2/24/2022,Thursday,Feb,2022,1,221,Not Active,Working Day
2/25/2022,Friday,Feb,2022,1,194.84,Not Active,Working Day
2/26/2022,Saturday,Feb,2022,1,216.72,Active,Working Day
2/27/2022,Sunday,Feb,2022,1,233.84,Not Active,Holiday
2/28/2022,Monday,Feb,2022,1,242.74,Active,Working Day
3/1/2022,Tuesday,Mar,2022,1,221.16,Not Active,Working Day
3/2/2022,Wednesday,Mar,2022,1,226.54,Not Active,Working Day
3/3/2022,Thursday,Mar,2022,1,211.16,Not Active,Working Day
3/4/2022,Friday,Mar,2022,1,223.41,Active,Working Day
